,player,date,team,home,opp,min,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
181,/w/willilo02,2021-02-10,LAC,@,MIN,28:31,10,15,2,3,5,5,1,4,5,4,2,0,3,1,27,23.8,+4
182,/w/willilo02,2021-02-12,LAC,@,CHI,24:03,8,13,1,3,0,0,0,2,2,5,1,1,0,0,17,16.9,+13
183,/w/willilo02,2021-02-14,LAC,,CLE,32:11,10,22,2,5,8,8,0,2,2,10,0,0,2,1,30,23.8,+28
184,/w/willilo02,2021-02-15,LAC,,MIA,35:30,8,20,1,5,1,3,0,3,3,10,0,0,2,2,18,11.5,+5
185,/w/willilo02,2021-02-17,LAC,,UTA,35:23,6,18,1,3,3,4,1,5,6,6,2,0,5,1,16,8.4,-8
186,/w/willilo02,2021-02-19,LAC,,UTA,25:33,8,14,1,4,2,2,0,2,2,2,2,0,1,0,19,15.4,+7
187,/w/willilo02,2021-02-21,LAC,,BRK,22:07,2,11,1,2,0,0,2,1,3,2,0,0,1,0,5,0.2,+2
188,/w/willilo02,2021-02-25,LAC,@,MEM,20:28,4,9,1,1,0,0,0,2,2,1,2,0,2,0,9,5.6,-11
189,/w/willilo02,2021-02-26,LAC,@,MEM,26:43,6,12,2,4,3,3,1,1,2,4,1,0,2,0,17,13.8,+13
190,/w/willilo02,2021-02-28,LAC,@,MIL,24:47,5,11,1,3,3,3,0,2,2,4,1,0,2,1,14,10.3,+12
191,/w/willilo02,2021-03-02,LAC,@,BOS,21:58,4,13,2,3,2,2,0,0,0,4,0,0,2,4,12,3.7,-14
192,/w/willilo02,2021-03-04,LAC,@,WAS,26:30,6,13,1,2,3,4,0,2,2,3,1,0,4,0,16,8.6,-3
193,/w/willilo02,2021-03-11,LAC,,GSW,14:10,5,7,1,2,3,4,0,3,3,3,2,0,0,1,14,15.3,+20
194,/w/willilo02,2021-03-14,LAC,@,NOP,13:49,1,3,0,1,4,6,0,0,0,2,1,0,2,1,6,3.5,-13
195,/w/willilo02,2021-03-15,LAC,@,DAL,24:37,5,10,2,4,2,2,0,1,1,2,2,0,0,2,14,11.9,-6
196,/w/willilo02,2021-03-17,LAC,@,DAL,24:24,2,10,1,4,0,0,0,1,1,3,0,1,1,0,5,0.9,-5
197,/w/willilo02,2021-03-20,LAC,,CHO,20:16,4,11,1,4,6,6,1,1,2,1,3,0,2,1,15,11.2,+10
198,/w/willilo02,2021-03-22,LAC,,ATL,9:26,0,3,0,2,2,2,0,0,0,1,0,0,2,2,2,-2.2,-11
199,/w/willilo02,2021-03-24,LAC,@,SAS,17:22,6,12,1,4,3,3,0,0,0,2,1,0,2,1,16,10.0,+3
200,/w/willilo02,2021-04-01,ATL,@,SAS,22:23,3,10,0,1,1,2,1,1,2,5,0,0,1,0,7,4.3,+5
201,/w/willilo02,2021-04-02,ATL,@,NOP,30:19,8,15,1,1,2,3,0,4,4,8,1,1,1,2,19,18.0,+19
202,/w/willilo02,2021-04-04,ATL,,GSW,26:05,5,15,2,3,3,3,1,2,3,2,1,0,2,1,15,7.8,+19
203,/w/willilo02,2021-04-06,ATL,,NOP,18:56,5,10,2,2,0,0,0,3,3,2,2,0,1,1,12,9.9,-11
204,/w/willilo02,2021-04-07,ATL,,MEM,23:04,6,12,1,3,0,0,0,0,0,0,0,0,2,1,13,4.6,-13
205,/w/willilo02,2021-04-09,ATL,,CHI,17:28,3,7,1,3,2,2,0,0,0,5,0,0,1,0,9,7.8,-8
206,/w/willilo02,2021-04-11,ATL,@,CHO,28:50,5,11,3,5,0,0,0,1,1,4,0,0,1,0,13,9.4,-3
207,/w/willilo02,2021-04-13,ATL,@,TOR,24:55,3,8,1,4,2,2,0,1,1,5,0,0,3,2,9,4.6,+5
208,/w/willilo02,2021-04-15,ATL,,MIL,23:13,2,6,0,1,2,2,0,0,0,1,1,0,2,0,6,2.3,-27
209,/w/willilo02,2021-04-18,ATL,,IND,20:48,3,10,0,1,2,2,0,0,0,1,0,0,1,2,8,1.1,-15
210,/w/willilo02,2021-04-20,ATL,,ORL,23:54,6,14,2,7,8,9,0,3,3,2,0,0,4,1,22,12.1,+22
211,/w/willilo02,2021-04-21,ATL,@,NYK,24:22,3,10,0,1,5,5,1,1,2,4,0,0,2,2,11,6.2,-9
212,/w/willilo02,2021-04-23,ATL,,MIA,19:52,5,11,1,1,2,2,0,0,0,2,2,0,1,0,13,9.7,+16
213,/w/willilo02,2021-04-25,ATL,,MIL,25:58,5,12,4,7,1,2,0,3,3,6,0,0,4,2,15,8.5,+11
214,/w/willilo02,2021-04-28,ATL,@,PHI,30:57,2,7,0,1,6,7,2,6,8,5,1,0,1,1,10,11.8,-17
215,/w/willilo02,2021-04-30,ATL,@,PHI,22:10,0,7,0,1,2,4,0,3,3,2,0,1,2,1,2,-3.1,-24
216,/w/willilo02,2021-05-01,ATL,,CHI,12:54,1,4,1,1,2,2,0,2,2,3,0,0,2,0,5,3.3,-6
217,/w/willilo02,2021-05-03,ATL,,POR,14:58,2,8,0,1,0,0,1,1,2,5,0,0,2,0,4,1.7,+10
218,/w/willilo02,2021-05-05,ATL,,PHO,19:23,6,11,2,4,2,2,0,4,4,5,0,0,1,0,16,14.4,+33
219,/w/willilo02,2021-05-06,ATL,@,IND,15:18,3,5,1,2,0,0,0,0,0,3,0,0,2,0,7,4.8,-6
220,/w/willilo02,2021-05-10,ATL,,WAS,11:23,1,5,0,1,0,0,0,1,1,0,0,0,0,1,2,-1.2,-17
221,/w/willilo02,2021-05-12,ATL,,WAS,13:03,1,5,0,0,2,2,0,2,2,5,0,0,1,2,4,3.2,+2
222,/w/willilo02,2021-05-13,ATL,,ORL,18:21,2,7,2,3,0,0,0,4,4,0,0,0,1,0,6,2.1,-4
223,/w/willilo02,2021-05-16,ATL,,HOU,16:33,4,6,0,0,3,3,0,2,2,6,0,0,4,1,11,8.8,+12
224,/t/tatumja01,2020-12-23,BOS,,MIL,32:49,12,28,6,13,0,0,0,7,7,2,2,1,2,2,30,18.6,-6
225,/t/tatumja01,2020-12-25,BOS,,BRK,36:07,9,22,2,6,0,0,1,7,8,2,1,1,3,1,20,10.7,-21
226,/t/tatumja01,2020-12-27,BOS,@,IND,35:47,9,21,3,9,4,4,0,11,11,5,0,1,5,1,25,16.0,-6
227,/t/tatumja01,2020-12-29,BOS,@,IND,40:27,9,17,1,3,8,10,0,11,11,4,3,0,4,1,27,22.6,+19
228,/t/tatumja01,2020-12-30,BOS,,MEM,23:14,6,12,3,5,1,1,0,4,4,3,1,0,0,0,16,14.3,+29
229,/t/tatumja01,2021-01-01,BOS,@,DET,37:04,11,24,3,11,3,5,0,6,6,2,1,1,3,1,28,16.3,+4
230,/t/tatumja01,2021-01-03,BOS,@,DET,36:40,10,22,4,8,0,0,2,6,8,12,0,2,0,1,24,25.2,+2
231,/t/tatumja01,2021-01-04,BOS,@,TOR,31:41,11,19,5,8,13,13,0,6,6,2,0,2,1,5,40,32.7,+24
232,/t/tatumja01,2021-01-06,BOS,@,MIA,37:32,10,21,5,8,2,2,0,5,5,4,1,0,2,4,27,18.0,+7
233,/t/tatumja01,2021-01-08,BOS,,WAS,35:06,14,27,3,9,1,1,1,4,5,2,1,0,4,2,32,18.2,-6
234,/t/tatumja01,2021-01-25,BOS,@,CHI,31:18,10,21,3,6,1,2,0,4,4,5,0,1,2,2,24,15.5,+15
235,/t/tatumja01,2021-01-27,BOS,@,SAS,34:05,11,25,0,3,3,4,3,4,7,2,4,0,3,1,25,16.8,+11
236,/t/tatumja01,2021-01-30,BOS,,LAL,39:47,12,18,2,3,4,6,0,9,9,3,2,0,4,1,30,23.8,0
237,/t/tatumja01,2021-02-02,BOS,@,GSW,38:25,9,19,4,10,5,6,0,9,9,3,0,0,4,2,27,16.9,+13
238,/t/tatumja01,2021-02-03,BOS,@,SAC,38:54,11,26,2,10,3,3,1,8,9,10,2,0,4,2,27,20.5,+6
239,/t/tatumja01,2021-02-05,BOS,@,LAC,40:22,12,27,5,10,5,6,1,6,7,2,4,0,2,2,34,24.6,+8
240,/t/tatumja01,2021-02-07,BOS,@,PHO,35:04,8,22,3,7,4,4,0,4,4,7,1,0,0,0,23,17.9,-12
241,/t/tatumja01,2021-02-09,BOS,@,UTA,37:54,7,20,1,4,8,8,1,3,4,4,0,0,0,1,23,15.8,-21
242,/t/tatumja01,2021-02-11,BOS,,TOR,36:01,5,13,1,3,6,6,0,6,6,9,2,0,2,3,17,16.8,+23
243,/t/tatumja01,2021-02-12,BOS,,DET,40:35,9,22,3,7,12,13,0,11,11,7,0,0,2,3,33,25.8,+9
244,/t/tatumja01,2021-02-14,BOS,@,WAS,23:21,3,14,0,2,0,1,2,6,8,4,1,0,2,4,6,0.4,-20
245,/t/tatumja01,2021-02-16,BOS,,DEN,32:45,6,18,1,8,8,8,1,5,6,8,1,0,4,3,21,14.4,+8
246,/t/tatumja01,2021-02-17,BOS,,ATL,34:53,11,21,3,9,10,11,0,6,6,6,2,0,3,1,35,28.9,-5
247,/t/tatumja01,2021-02-19,BOS,,ATL,37:18,10,21,3,8,2,2,1,7,8,6,1,3,6,2,25,17.6,-1
248,/t/tatumja01,2021-02-21,BOS,@,NOP,41:00,10,24,3,7,9,13,1,8,9,2,2,0,1,4,32,21.5,+3
249,/t/tatumja01,2021-02-23,BOS,@,DAL,35:36,10,23,3,10,5,6,0,6,6,4,1,2,4,2,28,17.7,-6
250,/t/tatumja01,2021-02-24,BOS,@,ATL,31:49,4,20,1,8,4,4,1,0,1,1,2,0,1,1,13,2.6,-15
251,/t/tatumja01,2021-02-26,BOS,,IND,38:29,4,18,1,4,0,0,1,8,9,4,0,1,1,0,9,3.6,-7
252,/t/tatumja01,2021-02-28,BOS,,WAS,38:41,12,22,3,10,4,4,0,8,8,3,3,0,4,4,31,22.3,+13
253,/t/tatumja01,2021-03-02,BOS,,LAC,39:42,5,16,1,5,3,3,0,5,5,5,2,0,3,1,14,8.4,-3
254,/t/tatumja01,2021-03-04,BOS,,TOR,37:20,9,15,3,6,6,10,1,11,12,5,2,0,3,3,27,23.8,+20
255,/t/tatumja01,2021-03-11,BOS,@,BRK,35:31,13,22,3,7,2,2,0,5,5,3,1,0,2,1,31,23.0,+1
256,/t/tatumja01,2021-03-14,BOS,@,HOU,28:22,9,17,3,5,2,2,1,5,6,6,1,0,2,3,23,18.9,+17
257,/t/tatumja01,2021-03-16,BOS,,UTA,36:55,12,24,4,7,1,2,3,3,6,3,3,0,3,3,29,20.5,+13
258,/t/tatumja01,2021-03-17,BOS,@,CLE,37:08,11,24,3,13,4,5,0,5,5,3,2,1,1,3,29,20.3,-8
259,/t/tatumja01,2021-03-19,BOS,,SAC,36:27,6,16,2,5,1,2,3,4,7,3,0,0,4,2,15,6.4,-11
260,/t/tatumja01,2021-03-21,BOS,,ORL,28:41,7,13,5,8,4,4,1,3,4,4,0,0,2,0,23,19.1,+7
261,/t/tatumja01,2021-03-24,BOS,@,MIL,37:52,7,19,1,6,3,3,1,7,8,5,1,2,2,1,18,13.8,+5
262,/t/tatumja01,2021-03-26,BOS,@,MIL,32:38,13,18,4,7,4,4,0,6,6,7,1,1,2,3,34,31.8,+9
263,/t/tatumja01,2021-03-27,BOS,@,OKC,38:03,11,27,4,12,1,1,0,5,5,3,1,0,1,1,27,15.7,+8
264,/t/tatumja01,2021-03-29,BOS,,NOP,40:07,12,25,5,9,5,6,3,6,9,5,2,0,1,2,34,28.5,-1
265,/t/tatumja01,2021-03-31,BOS,,DAL,38:04,10,24,1,8,4,4,2,7,9,3,3,0,3,2,25,17.0,-19
266,/t/tatumja01,2021-04-02,BOS,,HOU,31:42,9,17,5,11,3,3,0,9,9,0,0,1,4,1,26,16.7,+19
267,/t/tatumja01,2021-04-04,BOS,,CHO,27:58,8,15,3,9,3,4,0,8,8,4,0,0,0,2,22,18.7,+16
268,/t/tatumja01,2021-04-06,BOS,,PHI,35:08,7,17,3,10,3,3,0,4,4,4,1,0,3,1,20,12.5,-12
269,/t/tatumja01,2021-04-07,BOS,,NYK,41:38,10,21,3,9,2,2,0,10,10,5,1,0,8,0,25,13.8,+6
270,/t/tatumja01,2021-04-09,BOS,,MIN,41:00,16,25,6,10,15,16,1,9,10,4,0,1,5,3,53,42.2,+5
271,/t/tatumja01,2021-04-11,BOS,@,DEN,33:25,9,23,2,7,8,8,1,9,10,2,1,0,2,2,28,18.5,+3
272,/t/tatumja01,2021-04-13,BOS,@,POR,38:02,10,17,4,7,8,10,1,8,9,5,1,1,3,2,32,27.8,-1
273,/t/tatumja01,2021-04-15,BOS,@,LAL,27:47,6,14,2,5,0,0,0,5,5,5,0,0,0,0,14,11.6,+14
274,/t/tatumja01,2021-04-17,BOS,,GSW,39:50,16,25,5,9,7,8,0,10,10,3,2,0,2,2,44,36.8,+12
275,/t/tatumja01,2021-04-19,BOS,,CHI,37:00,3,17,1,4,7,8,0,13,13,10,0,0,4,1,14,9.4,-3
276,/t/tatumja01,2021-04-22,BOS,,PHO,33:58,3,17,1,8,8,8,0,11,11,6,1,0,5,0,15,7.8,+13
277,/t/tatumja01,2021-04-23,BOS,@,BRK,39:23,14,27,6,12,4,7,2,8,10,4,0,0,5,3,38,23.9,+1
278,/t/tatumja01,2021-04-25,BOS,@,CHO,32:15,6,16,1,5,6,7,4,7,11,2,1,0,5,3,19,10.9,-28
279,/t/tatumja01,2021-04-28,BOS,,CHO,40:41,12,23,4,10,7,8,1,7,8,8,1,0,3,3,35,28.5,+7
280,/t/tatumja01,2021-04-30,BOS,,SAS,45:20,20,37,5,7,15,17,2,6,8,5,0,1,0,2,60,47.9,+6
281,/t/tatumja01,2021-05-02,BOS,,POR,36:54,11,19,4,5,7,7,0,2,2,5,0,1,6,2,33,22.1,-15
282,/t/tatumja01,2021-05-05,BOS,@,ORL,30:52,10,22,4,12,3,3,1,6,7,3,2,2,0,2,27,22.8,+28
283,/t/tatumja01,2021-05-07,BOS,@,CHI,38:01,3,15,0,7,3,4,2,4,6,3,2,0,3,0,9,3.0,-22
284,/t/tatumja01,2021-05-09,BOS,,MIA,38:22,11,16,2,6,5,6,0,5,5,6,1,2,3,3,29,25.7,-14
285,/t/tatumja01,2021-05-11,BOS,,MIA,39:01,12,21,5,8,4,6,0,8,8,6,1,1,4,5,33,24.6,+4
286,/t/tatumja01,2021-05-12,BOS,@,CLE,35:03,11,26,1,6,6,8,1,7,8,1,2,2,2,3,29,18.1,-5
287,/t/tatumja01,2021-05-15,BOS,@,MIN,26:44,8,21,4,11,6,6,2,9,11,2,1,0,2,1,26,18.6,+21
288,/b/brownja02,2020-12-23,BOS,,MIL,37:38,13,24,3,8,4,4,0,5,5,4,2,1,0,3,33,27.2,+8
289,/b/brownja02,2020-12-25,BOS,,BRK,30:32,11,25,0,4,5,9,5,3,8,3,0,1,2,5,27,15.5,-25
290,/b/brownja02,2020-12-27,BOS,@,IND,33:36,8,13,0,1,2,2,0,2,2,4,2,1,2,4,18,14.6,+1
291,/b/brownja02,2020-12-29,BOS,@,IND,34:22,7,13,1,2,5,10,0,2,2,2,4,0,1,2,20,15.9,-1
292,/b/brownja02,2020-12-30,BOS,,MEM,28:57,15,21,7,10,5,6,1,4,5,4,1,0,4,1,42,34.2,+22
293,/b/brownja02,2021-01-01,BOS,@,DET,37:34,12,21,1,7,0,0,2,7,9,2,3,2,4,3,25,19.2,-9
294,/b/brownja02,2021-01-03,BOS,@,DET,34:53,13,16,5,8,0,0,0,1,1,3,0,0,6,2,31,20.6,+1
295,/b/brownja02,2021-01-04,BOS,@,TOR,33:56,7,16,1,2,4,4,0,5,5,3,1,0,4,2,19,10.4,+4
296,/b/brownja02,2021-01-06,BOS,@,MIA,36:46,8,23,3,9,2,2,1,11,12,5,2,2,1,4,21,16.4,-8
297,/b/brownja02,2021-01-08,BOS,,WAS,37:40,9,19,3,6,6,6,3,10,13,5,2,0,5,4,27,21.3,+21
298,/b/brownja02,2021-01-15,BOS,,ORL,25:01,6,12,2,5,7,7,0,2,2,8,1,0,2,1,21,19.8,+15
299,/b/brownja02,2021-01-17,BOS,,NYK,32:33,9,20,3,9,4,5,3,3,6,3,1,0,2,3,25,17.1,-27
300,/b/brownja02,2021-01-20,BOS,@,PHI,32:49,10,24,3,10,3,6,0,5,5,3,0,0,4,3,26,10.4,-13
301,/b/brownja02,2021-01-22,BOS,@,PHI,35:50,16,28,5,8,5,7,4,5,9,3,1,1,3,1,42,32.7,-9
302,/b/brownja02,2021-01-24,BOS,,CLE,19:14,13,20,3,4,4,4,0,3,3,1,2,0,1,3,33,25.6,+31
303,/b/brownja02,2021-01-25,BOS,@,CHI,29:49,10,21,2,3,4,6,0,5,5,2,2,0,2,1,26,17.0,+17
304,/b/brownja02,2021-01-27,BOS,@,SAS,36:06,8,19,3,6,5,6,0,4,4,5,1,2,0,4,24,19.0,-1
305,/b/brownja02,2021-01-30,BOS,,LAL,37:57,13,19,2,4,0,2,1,0,1,3,1,1,2,4,28,20.0,+13
306,/b/brownja02,2021-02-02,BOS,@,GSW,32:07,8,20,1,6,1,1,2,8,10,4,0,1,3,5,18,9.5,+4
307,/b/brownja02,2021-02-03,BOS,@,SAC,33:49,7,18,2,6,5,6,0,3,3,4,0,1,1,2,21,13.4,-4
308,/b/brownja02,2021-02-09,BOS,@,UTA,37:24,12,20,3,6,6,8,4,4,8,0,0,0,3,2,33,23.2,-8
309,/b/brownja02,2021-02-11,BOS,,TOR,32:14,3,14,0,4,6,6,1,4,5,10,2,1,5,4,12,8.4,+18
310,/b/brownja02,2021-02-12,BOS,,DET,36:20,11,21,1,4,4,7,1,5,6,0,2,0,2,4,27,16.1,-4
311,/b/brownja02,2021-02-14,BOS,@,WAS,28:39,11,21,2,5,1,3,3,4,7,0,1,1,5,2,25,13.1,-17
312,/b/brownja02,2021-02-16,BOS,,DEN,37:00,11,20,5,10,0,0,0,5,5,5,0,0,7,3,27,14.2,+5
313,/b/brownja02,2021-02-17,BOS,,ATL,35:21,6,20,2,7,8,8,0,3,3,7,0,0,3,5,22,11.2,-10
314,/b/brownja02,2021-02-19,BOS,,ATL,34:11,6,12,4,7,1,3,0,4,4,6,1,0,3,0,17,13.6,+23
315,/b/brownja02,2021-02-21,BOS,@,NOP,40:49,7,23,3,10,8,9,1,5,6,9,0,0,3,5,25,14.8,-7
316,/b/brownja02,2021-02-23,BOS,@,DAL,37:33,12,20,2,8,3,3,2,5,7,5,2,0,3,4,29,23.6,+3
317,/b/brownja02,2021-02-24,BOS,@,ATL,29:29,6,16,0,6,5,5,1,3,4,5,1,0,2,1,17,11.9,-13
318,/b/brownja02,2021-02-26,BOS,,IND,37:29,5,12,0,2,5,6,0,7,7,5,0,0,4,3,15,8.6,+3
319,/b/brownja02,2021-03-02,BOS,,LAC,33:54,8,14,2,3,0,0,2,3,5,2,1,0,1,2,18,14.3,+1
320,/b/brownja02,2021-03-04,BOS,,TOR,33:54,4,11,2,6,11,16,0,7,7,4,0,1,3,4,21,13.9,-1
321,/b/brownja02,2021-03-11,BOS,@,BRK,40:25,5,23,3,12,0,1,1,4,5,6,4,0,4,0,13,4.6,-3
