Player,Team,Opp,Home,Round,Game,Prediction,O/U,Line Diff,Prob,Wager,Bet ID,O/U bet,Actual,Diff,Correct,Win,Money
Nikola Jokić,Denver Nuggets,Portland Trail Blazers,0,1,6,26.6,32.5,5.9,0.819,170.97,40,0,36,9.4,0,0,1509.218
LeBron James,Los Angeles Lakers,Phoenix Suns,1,1,6,24.9,28.5,3.6,0.713,41.74,41,0,29,4.1,0,0,1467.478
Devin Booker,Phoenix Suns,Los Angeles Lakers,0,1,6,25.7,28.5,2.8,0.67,41.74,41,0,47,21.3,0,0,1467.478
Luka Dončić,Dallas Mavericks,Los Angeles Clippers,1,1,6,30.7,32.5,1.8,0.621,45.09,42,0,29,-1.7,1,0,1422.388
Kawhi Leonard,Los Angeles Clippers,Dallas Mavericks,0,1,6,24.5,29.5,5.0,0.785,45.09,42,0,45,20.5,0,0,1422.388
Kevin Durant,Brooklyn Nets,Milwaukee Bucks,1,2,1,27.6,29.5,1.9,0.626,53.13,43,0,29,1.4,1,0,1369.258
Giannis Antetokounmpo,Milwaukee Bucks,Brooklyn Nets,0,2,1,27.9,33.5,5.6,0.81,53.13,43,0,34,6.1,0,0,1369.258
Kawhi Leonard,Los Angeles Clippers,Dallas Mavericks,1,1,7,24.7,33.5,8.8,0.913,112.81,44,0,28,3.3,1,0,1256.448
Luka Dončić,Dallas Mavericks,Los Angeles Clippers,0,1,7,29.8,32.5,2.7,0.671,112.81,44,0,46,16.2,0,0,1256.448
Tobias Harris,Philadelphia 76ers,Atlanta Hawks,1,2,1,21.1,24.5,3.4,0.708,30.01,45,0,20,-1.1,1,1,1334.474
Trae Young,Atlanta Hawks,Philadelphia 76ers,0,2,1,27.8,25.5,-2.3,0.621,30.01,45,1,35,7.2,1,1,1334.474
Kevin Durant,Brooklyn Nets,Milwaukee Bucks,1,2,2,28.0,33.5,5.5,0.796,80.53,46,0,32,4,1,1,1543.852
Giannis Antetokounmpo,Milwaukee Bucks,Brooklyn Nets,0,2,2,29.9,33.5,3.6,0.707,80.53,46,0,18,-11.9,1,1,1543.852
Devin Booker,Phoenix Suns,Denver Nuggets,1,2,1,27.1,30.5,3.4,0.697,55.74,47,0,21,-6.1,1,1,1688.776
Nikola Jokić,Denver Nuggets,Phoenix Suns,0,2,1,27.3,31.5,4.2,0.737,55.74,47,0,22,-5.3,1,1,1688.776
Joel Embiid,Philadelphia 76ers,Atlanta Hawks,1,2,2,29.7,30.5,0.8,0.558,0,48,0,40,10.3,0,0,1688.776
Trae Young,Atlanta Hawks,Philadelphia 76ers,0,2,2,28.6,28.5,-0.1,0.497,0,48,1,21,-7.6,0,0,1688.776
Donovan Mitchell,Utah Jazz,Los Angeles Clippers,1,2,1,26.1,28.5,2.4,0.652,18.03,49,0,45,18.9,0,0,1670.746
Kawhi Leonard,Los Angeles Clippers,Utah Jazz,0,2,1,26.1,27.5,1.4,0.594,18.03,49,0,23,-3.1,1,0,1670.746
